1,SI100,1,10.00,10.00
1,EB101,1,5.00,10.00
1,EB102,1,7.50,10.00
2,SI100,1,9.00,10.00
3,SI100,1,8.00,10.00
4,SI100,1,7.00,10.00
5,SI100,1,6.00,10.00
1,SI200,2,10.00,10.00
2,SI200,2,4.00,10.00
3,SI200,2,4.00,10.00
4,SI200,2,4.00,10.00
5,SI200,2,4.00,10.00
1,SI300,3,6.00,30.00
2,SI300,3,6.00,30.00
3,SI300,3,6.00,30.00
4,SI300,3,6.00,30.00
5,SI300,3,6.00,30.00
1,SI201,4,2.00,50.00
1,SI300,4,10.00,10.00
2,SI201,4,2.00,50.00
3,SI201,4,2.00,50.00
4,SI201,4,2.00,50.00
5,SI201,4,2.00,50.00
